web-scraper-order,web-scraper-start-url,CLICKER,PLAYER,TEAM,AGE,POSITION,GAMES_PLAYED,GAMES,FREQ_PCT,DFGM,DFGA,DFG_PCT,FG_PCT,DIFF_PCT
"1723585816-1","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","DeAndre Jordan","LAC","25","C","82","82","100","626","1375","45.5","47.9","-2.4"
"1723585816-2","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Robin Lopez","POR","26","C","82","82","100","571","1315","43.4","47.8","-4.4"
"1723585816-3","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Spencer Hawes","CLE","26","C","80","80","100","587","1285","45.7","47.3","-1.6"
"1723585816-4","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Serge Ibaka","OKC","24","F-C","81","81","100","564","1270","44.4","47.1","-2.7"
"1723585816-5","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Joakim Noah","CHI","29","C","80","80","100","529","1246","42.5","47.0","-4.6"
"1723585816-6","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Marcin Gortat","WAS","30","C","80","80","100","575","1223","47.0","47.3","-0.3"
"1723585816-7","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Kevin Love","MIN","25","F-C","77","77","100","586","1169","50.1","47.3","2.8"
"1723585816-8","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Roy Hibbert","IND","27","C","81","81","100","474","1134","41.8","47.7","-5.9"
"1723585816-9","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Paul Millsap","ATL","29","F","73","73","100","513","1094","46.9","46.3","0.6"
"1723585816-10","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Andre Drummond","DET","20","C","81","81","100","520","1066","48.8","47.2","1.6"
"1723585816-11","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Josh Smith","DET","28","F","77","77","100","476","1059","44.9","46.0","-1.1"
"1723585816-12","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Chris Bosh","MIA","30","C-F","79","79","100","486","1052","46.2","46.9","-0.7"
"1723585816-13","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Thaddeus Young","PHI","26","F","79","79","100","522","1044","50.0","45.7","4.3"
"1723585816-14","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Channing Frye","PHX","31","F-C","82","82","100","503","1038","48.5","46.8","1.6"
"1723585816-15","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","LaMarcus Aldridge","POR","28","F","69","69","100","491","1038","47.3","47.1","0.2"
"1723585816-16","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Greg Monroe","DET","24","F-C","82","82","100","504","1036","48.6","46.4","2.3"
"1723585816-17","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Dirk Nowitzki","DAL","36","F","80","80","100","474","1011","46.9","46.8","0.0"
"1723585816-18","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Blake Griffin","LAC","25","F","80","80","100","460","1007","45.7","46.9","-1.2"
"1723585816-19","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Zach Randolph","MEM","32","F","78","78","100","494","998","49.5","47.7","1.8"
"1723585816-20","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Al Jefferson","CHA","29","C","72","72","100","462","997","46.3","47.9","-1.5"
"1723585816-21","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Paul George","IND","24","F-G","80","80","100","397","979","40.6","45.0","-4.4"
"1723585816-22","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Kemba Walker","CHA","24","G","72","72","100","408","979","41.7","43.4","-1.7"
"1723585816-23","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Terrence Jones","HOU","22","F","75","75","100","459","979","46.9","46.3","0.6"
"1723585816-24","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Taj Gibson","CHI","29","F-C","82","82","100","405","972","41.7","45.9","-4.3"
"1723585816-25","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Jonas Valanciunas","TOR","22","C","80","80","100","453","970","46.7","47.6","-0.9"
"1723585816-26","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Tim Duncan","SAS","38","F","74","74","100","435","969","44.9","48.0","-3.1"
"1723585816-27","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Derrick Favors","UTA","22","C-F","73","73","100","455","964","47.2","47.9","-0.7"
"1723585816-28","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Nicolas Batum","POR","25","F","82","82","100","425","935","45.5","45.1","0.4"
"1723585816-29","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Kevin Durant","OKC","25","F","81","81","100","369","926","39.8","45.1","-5.2"
"1723585816-30","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Anthony Davis","NOP","21","F-C","66","66","100","393","921","42.7","46.4","-3.7"
"1723585816-31","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Kyle Singler","DET","26","F","82","82","100","429","914","46.9","44.6","2.3"
"1723585816-32","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Tristan Thompson","CLE","23","F","82","82","100","437","909","48.1","46.8","1.3"
"1723585816-33","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Victor Oladipo","ORL","22","G","80","80","100","376","908","41.4","43.6","-2.2"
"1723585816-34","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Damian Lillard","POR","23","G","82","82","100","398","905","44.0","44.2","-0.2"
"1723585816-35","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Dwight Howard","HOU","28","C-F","71","71","100","411","904","45.5","47.4","-1.9"
"1723585816-36","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","DeMarcus Cousins","SAC","23","C","70","70","100","410","900","45.6","47.7","-2.2"
"1723585816-37","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Miles Plumlee","PHX","25","C-F","80","80","100","425","899","47.3","48.4","-1.2"
"1723585816-38","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Klay Thompson","GSW","24","G","80","80","100","367","897","40.9","44.5","-3.6"
"1723585816-39","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Amir Johnson","TOR","27","F","76","76","100","411","894","46.0","46.7","-0.8"
"1723585816-40","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Ricky Rubio","MIN","23","G","82","82","100","424","891","47.6","44.2","3.4"
"1723585816-41","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","James Harden","HOU","24","G","73","73","100","369","891","41.4","44.7","-3.3"
"1723585816-42","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Enes Freedom","UTA","22","C","80","80","100","449","889","50.5","47.8","2.7"
"1723585816-43","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Brandon Bass","BOS","29","F","82","82","100","398","887","44.9","46.2","-1.3"
"1723585816-44","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Jared Sullinger","BOS","22","C-F","74","74","100","420","884","47.5","46.8","0.7"
"1723585816-45","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Timofey Mozgov","DEN","27","C","82","82","100","394","883","44.6","47.6","-3.0"
"1723585816-46","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","David Lee","GSW","31","F","68","68","100","386","882","43.8","47.3","-3.5"
"1723585816-47","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Pau Gasol","LAL","33","C-F","60","60","100","432","879","49.1","48.2","0.9"
"1723585816-48","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Kenneth Faried","DEN","24","F","80","80","100","417","863","48.3","46.8","1.6"
"1723585816-49","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Wesley Johnson","LAL","26","F","79","79","100","413","861","48.0","45.9","2.1"
"1723585816-50","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Jeff Green","BOS","27","F","82","82","100","396","850","46.6","45.2","1.4"
"1723585816-51","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Evan Turner","IND","25","F-G","81","81","100","419","848","49.4","44.4","5.0"
"1723585816-52","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Monta Ellis","DAL","28","G","82","82","100","416","844","49.3","44.5","4.8"
"1723585816-53","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Jeremy Lin","HOU","25","G","71","71","100","360","842","42.8","44.0","-1.3"
"1723585816-54","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Jose Calderon","DAL","32","G","80","80","100","404","841","48.0","44.0","4.0"
"1723585816-55","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","George Hill","IND","28","G","76","76","100","360","839","42.9","44.1","-1.2"
"1723585816-56","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Carmelo Anthony","NYK","30","F","77","77","100","364","831","43.8","45.0","-1.2"
"1723585816-57","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Corey Brewer","MIN","28","F","81","81","100","372","829","44.9","44.5","0.3"
"1723585816-58","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Kyle Lowry","TOR","28","G","77","77","100","360","824","43.7","43.9","-0.2"
"1723585816-59","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Markieff Morris","PHX","24","F","81","81","100","389","823","47.3","46.3","0.9"
"1723585816-60","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Jodie Meeks","LAL","26","G","76","76","100","371","817","45.4","44.3","1.1"
"1723585816-61","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Chandler Parsons","HOU","25","F","74","74","100","355","817","43.5","44.9","-1.4"
"1723585816-62","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Wesley Matthews","POR","27","G","82","82","100","355","810","43.8","44.5","-0.7"
"1723585816-63","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Draymond Green","GSW","24","F","79","79","100","340","810","42.0","45.6","-3.6"
"1723585816-64","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Shawn Marion","DAL","36","F","76","76","100","347","805","43.1","45.9","-2.8"
"1723585816-65","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Bradley Beal","WAS","21","G","72","72","100","340","803","42.3","43.8","-1.5"
"1723585816-66","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Josh McRoberts","CHA","27","F","77","77","100","382","801","47.7","46.4","1.3"
"1723585816-67","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","DeMarre Carroll","ATL","27","F","73","73","100","356","796","44.7","45.0","-0.3"
"1723585816-68","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Khris Middleton","MIL","22","F","81","81","100","352","784","44.9","44.6","0.3"
"1723585816-69","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Isaiah Thomas","SAC","25","G","71","71","100","335","783","42.8","43.6","-0.8"
"1723585816-70","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","JJ Hickson","DEN","25","C-F","69","69","100","372","781","47.6","47.1","0.6"
"1723585816-71","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Jimmy Butler","CHI","24","G-F","67","67","100","322","779","41.3","44.7","-3.4"
"1723585816-72","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Kyrie Irving","CLE","22","G","71","71","100","335","768","43.6","43.3","0.3"
"1723585816-73","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","John Wall","WAS","23","G","81","81","100","358","767","46.7","43.5","3.2"
"1723585816-74","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Mike Conley","MEM","26","G","73","73","100","336","764","44.0","44.2","-0.2"
"1723585816-75","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Boris Diaw","SAS","32","F","79","79","100","342","759","45.1","46.1","-1.0"
"1723585816-76","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Alec Burks","UTA","22","G","78","78","100","364","758","48.0","44.2","3.9"
"1723585816-77","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","David West","IND","33","F","80","80","100","314","757","41.5","46.3","-4.9"
"1723585816-78","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Andrew Bogut","GSW","29","C","66","66","100","329","752","43.8","47.9","-4.2"
"1723585816-79","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Reggie Jackson","OKC","24","G","80","80","100","336","747","45.0","43.9","1.1"
"1723585816-80","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Stephen Curry","GSW","26","G","77","77","100","314","746","42.1","44.2","-2.1"
"1723585816-81","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Brandon Jennings","DET","24","G","79","79","100","339","742","45.7","43.2","2.5"
"1723585816-82","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Randy Foye","DEN","30","G","81","81","100","341","740","46.1","44.5","1.6"
"1723585816-83","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Jason Thompson","SAC","27","F-C","81","81","100","349","739","47.2","47.5","-0.3"
"1723585816-84","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","LeBron James","MIA","29","F","77","77","100","317","731","43.4","44.9","-1.5"
"1723585816-85","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Jarrett Jack","CLE","30","G","80","80","100","310","731","42.4","43.3","-0.9"
"1723585816-86","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Shane Battier","MIA","35","F","72","72","100","350","730","47.9","45.9","2.0"
"1723585816-87","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Luol Deng","CLE","29","F","63","63","100","333","729","45.7","44.9","0.7"
"1723585816-88","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Terrence Ross","TOR","23","F","80","80","100","316","729","43.3","44.5","-1.2"
"1723585816-89","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Brandon Knight","MIL","22","G","71","71","100","336","726","46.3","43.8","2.5"
"1723585816-90","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Tobias Harris","ORL","21","F","61","61","100","336","726","46.3","45.0","1.3"
"1723585816-91","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Lance Stephenson","IND","23","G","78","78","100","296","724","40.9","44.2","-3.3"
"1723585816-92","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Gerald Green","PHX","28","G-F","82","82","100","300","723","41.5","44.3","-2.8"
"1723585816-93","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Nikola Vucevic","ORL","23","C","57","57","100","355","721","49.2","47.9","1.3"
"1723585816-94","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","John Henson","MIL","23","C-F","69","69","100","337","720","46.8","46.4","0.4"
"1723585816-95","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","James Anderson","PHI","25","G-F","80","80","100","337","719","46.9","44.4","2.5"
"1723585816-96","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Rudy Gay","SAC","27","F","72","72","100","322","712","45.2","45.6","-0.3"
"1723585816-97","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Paul Pierce","BKN","36","F","74","74","100","332","711","46.7","45.8","0.9"
"1723585816-98","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Jordan Hill","LAL","26","F-C","72","72","100","336","709","47.4","46.8","0.6"
"1723585816-99","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Mike Dunleavy","CHI","33","F","82","82","100","291","704","41.3","44.1","-2.8"
"1723585816-100","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Ben McLemore","SAC","21","G","81","81","100","346","701","49.4","44.6","4.8"
"1723585816-101","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Tyson Chandler","NYK","31","C","54","54","100","326","700","46.6","46.6","0.0"
"1723585816-102","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Dante Cunningham","MIN","27","F","81","81","100","334","696","48.0","45.4","2.6"
"1723585816-103","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Goran Dragic","PHX","28","G","76","76","100","313","695","45.0","43.9","1.2"
"1723585816-104","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Darren Collison","LAC","26","G","80","80","100","305","693","44.0","43.7","0.3"
"1723585816-105","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Al-Farouq Aminu","NOP","23","F","80","80","100","341","693","49.2","46.0","3.2"
"1723585816-106","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Arron Afflalo","ORL","28","G-F","73","73","100","338","693","48.8","44.2","4.5"
"1723585816-107","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","DeMar DeRozan","TOR","24","G","78","78","100","303","691","43.8","44.6","-0.7"
"1723585816-108","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Glen Davis","LAC","28","F-C","68","68","100","317","690","45.9","46.8","-0.8"
"1723585816-109","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Gerald Henderson","CHA","26","G","76","76","100","288","690","41.7","44.7","-3.0"
"1723585816-110","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Richard Jefferson","UTA","34","F","82","82","100","340","689","49.3","45.1","4.2"
"1723585816-111","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Kirk Hinrich","CHI","33","G","73","73","100","291","686","42.4","43.8","-1.4"
"1723585816-112","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Michael Carter-Williams","PHI","22","G","70","70","100","314","686","45.8","43.7","2.1"
"1723585816-113","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","P.J. Tucker","PHX","29","F-G","81","81","100","301","685","43.9","45.2","-1.3"
"1723585816-114","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Wilson Chandler","DEN","27","F","62","62","100","294","685","42.9","45.9","-2.9"
"1723585816-115","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Kyle Korver","ATL","33","G-F","70","70","100","311","683","45.5","44.0","1.6"
"1723585816-116","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Trevor Ariza","WAS","28","F","76","76","100","308","682","45.2","44.7","0.5"
"1723585816-117","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Jeff Teague","ATL","26","G","78","78","100","289","679","42.6","43.3","-0.8"
"1723585816-118","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Gordon Hayward","UTA","24","G-F","77","77","100","295","676","43.6","44.6","-1.0"
"1723585816-119","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Nikola Pekovic","MIN","28","C","54","54","100","333","674","49.4","47.9","1.5"
"1723585816-120","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Marc Gasol","MEM","29","C","58","58","100","311","669","46.5","48.0","-1.5"
"1723585816-121","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Danny Green","SAS","27","G-F","68","68","100","289","668","43.3","45.0","-1.7"
"1723585816-122","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Tyreke Evans","NOP","24","F-G","72","72","100","300","666","45.0","44.4","0.7"
"1723585816-123","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Marcus Morris Sr.","PHX","24","F","82","82","100","306","656","46.6","44.2","2.5"
"1723585816-124","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Vince Carter","DAL","37","G-F","81","81","100","279","654","42.7","45.1","-2.4"
"1723585816-125","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Jared Dudley","LAC","28","F","73","73","100","283","650","43.5","44.9","-1.4"
"1723585816-126","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Tony Parker","SAS","32","G","67","67","100","297","649","45.8","43.6","2.2"
"1723585816-127","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Matt Barnes","LAC","34","F","63","63","100","275","648","42.4","45.2","-2.7"
"1723585816-128","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Kris Humphries","BOS","29","C-F","68","68","100","288","647","44.5","46.3","-1.8"
"1723585816-129","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Dion Waiters","CLE","22","G","70","70","100","277","645","42.9","44.0","-1.0"
"1723585816-130","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Harrison Barnes","GSW","22","F","77","77","100","300","645","46.5","44.5","2.0"
"1723585816-131","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Carlos Boozer","CHI","32","F","76","76","100","310","639","48.5","47.0","1.5"
"1723585816-132","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Deron Williams","BKN","30","G","64","64","100","271","638","42.5","43.0","-0.5"
"1723585816-133","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Anderson Varejao","CLE","31","C","65","65","100","290","636","45.6","46.6","-1.0"
"1723585816-134","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Trey Burke","UTA","21","G","70","70","100","290","635","45.7","43.9","1.8"
"1723585816-135","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Maurice Harkless","ORL","21","F","80","80","100","276","633","43.6","44.4","-0.8"
