web-scraper-order,web-scraper-start-url,CLICKER,PLAYER,TEAM,AGE,POSITION,GAMES_PLAYED,GAMES,FREQ_PCT,DFGM,DFGA,DFG_PCT,FG_PCT,DIFF_PCT
"1723586088-3641","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Kentavious Caldwell-Pope","LAL","28","G","67","67","100","289","605","47.8","46.4","1.3"
"1723586088-3642","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Delon Wright","SAC","29","G","61","61","100","294","602","48.8","46.7","2.2"
"1723586088-3643","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Devonte' Graham","CHA","26","G","54","54","100","277","599","46.2","45.7","0.6"
"1723586088-3644","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Tyrese Haliburton","SAC","21","G","56","56","100","305","598","51.0","45.3","5.7"
"1723586088-3645","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Jarred Vanderbilt","MIN","22","F","63","63","100","273","598","45.7","48.1","-2.5"
"1723586088-3646","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Kent Bazemore","GSW","31","G-F","66","66","100","254","597","42.5","45.9","-3.4"
"1723586088-3647","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Jimmy Butler","MIA","31","F","50","50","100","263","597","44.1","46.3","-2.2"
"1723586088-3648","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Xavier Tillman","MEM","22","F","59","59","100","272","593","45.9","48.4","-2.6"
"1723586088-3649","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Cory Joseph","DET","29","G","61","61","100","281","592","47.5","45.9","1.6"
"1723586088-3650","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Solomon Hill","ATL","30","F","71","71","100","271","590","45.9","46.6","-0.7"
"1723586088-3651","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Saddiq Bey","DET","22","F","70","70","100","289","589","49.1","46.9","2.2"
"1723586088-3652","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Tyler Herro","MIA","21","G","52","52","100","268","587","45.7","45.1","0.5"
"1723586088-3653","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Jae Crowder","PHX","30","F","58","58","100","248","585","42.4","46.6","-4.2"
"1723586088-3654","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Dwight Howard","PHI","35","C-F","69","69","100","270","585","46.2","49.4","-3.3"
"1723586088-3655","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Marc Gasol","LAL","36","C","52","52","100","280","584","47.9","48.8","-0.8"
"1723586088-3656","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Jamal Murray","DEN","24","G","47","47","100","263","583","45.1","46.7","-1.5"
"1723586088-3657","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Kemba Walker","OKC","31","G","43","43","100","296","581","50.9","46.3","4.6"
"1723586088-3658","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Brandon Ingram","NOP","23","F","59","59","100","276","579","47.7","46.0","1.6"
"1723586088-3659","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Lauri Markkanen","CHI","24","F-C","50","50","100","278","578","48.1","46.7","1.4"
"1723586088-3660","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Serge Ibaka","LAC","31","F","41","41","100","274","574","47.7","49.2","-1.5"
